File Name, BVH Uploaded, FBX Uploaded, Description, Motion Capture Class, Origin, Licence Details
01_01,TRUE,TRUE,"playground - forward jumps, turn around",,CMU,
01_02,TRUE,TRUE,playground - climb,,CMU,
01_03,TRUE,TRUE,"playground - climb, hang, swing",,CMU,
01_04,TRUE,TRUE,playground - climb,,CMU,
01_05,TRUE,TRUE,"playground - climb, go under",,CMU,
01_06,TRUE,TRUE,"playground - climb, sit, dangle legs, descend",,CMU,
01_07,TRUE,TRUE,"playground - climb, sit, dangle legs, jump down",,CMU,
01_08,TRUE,TRUE,"playground - climb, sit, dangle legs, rock back, lower self to ground",,CMU,
01_09,TRUE,TRUE,"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under",,CMU,
01_10,TRUE,TRUE,"playground - climb, swing, lean back, drop",,CMU,
01_11,TRUE,TRUE,"playground - climb, hang, lean over, jump down",,CMU,
01_12,TRUE,TRUE,"playground - climb, pull up, dangle, sit, lower self to ground",,CMU,
01_13,TRUE,TRUE,"playground - climb, go under, jump down",,CMU,
01_14,TRUE,TRUE,"playground - climb, jump down, dangle, legs push off against",,CMU,
02_01,TRUE,TRUE,walk,,CMU,
02_02,TRUE,TRUE,walk,,CMU,
02_03,TRUE,TRUE,run/jog,,CMU,
02_04,TRUE,TRUE,"jump, balance",,CMU,
02_05,TRUE,TRUE,punch/strike,,CMU,
02_06,TRUE,TRUE,"bend over, scoop up, rise, lift arm",,CMU,
02_07,TRUE,TRUE,swordplay,,CMU,
02_08,TRUE,TRUE,swordplay,,CMU,
02_09,TRUE,TRUE,swordplay,,CMU,
02_10,TRUE,TRUE,wash self,,CMU,
03_01,TRUE,TRUE,walk on uneven terrain,,CMU,
03_02,TRUE,TRUE,walk on uneven terrain,,CMU,
03_03,TRUE,TRUE,walk on uneven terrain,,CMU,
03_04,TRUE,TRUE,walk on uneven terrain,,CMU,
05_01,TRUE,TRUE,walk,,CMU,
05_02,TRUE,TRUE,"dance - expressive arms, pirouette",,CMU,
05_03,TRUE,TRUE,"dance - sideways arabesque, turn step, folding arms",,CMU,
05_04,TRUE,TRUE,"dance - sideways arabesque, folding arms, bending back",,CMU,
05_05,TRUE,TRUE,"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant",,CMU,
